year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2021,Bachelor,West End/Stanley Park,0.8,,1280.0,1325.0,696.0
2021,Bachelor,English Bay,3.5,,1337.0,1345.0,895.0
2021,Bachelor,Downtown,2.1,,1470.0,1436.0,2413.0
2021,Bachelor,South Granville/Oak,0.6,,1299.0,1275.0,1453.0
2021,Bachelor,Kitsilano/Point Grey,1.0,,1300.0,1325.0,827.0
2021,Bachelor,Westside/Kerrisdale,0.9,,1156.0,1100.0,224.0
2021,Bachelor,Marpole,1.1,,1046.0,1050.0,335.0
2021,Bachelor,Mount Pleasant/Renfrew Heights,0.8,,1333.0,1350.0,1082.0
2021,Bachelor,East Hastings,0.7,,1385.0,1350.0,1025.0
2021,Bachelor,University Endowment Lands,0.0,,1615.0,1597.0,204.0
2021,Bachelor,Central Park/Metrotown,1.9,,1218.0,1175.0,297.0
2021,Bachelor,Southeast Burnaby,4.6,,969.0,950.0,137.0
2021,Bachelor,North Burnaby,2.2,,1019.0,950.0,282.0
2021,Bachelor,New Westminster,1.3,,1187.0,1150.0,1214.0
2021,Bachelor,Richmond,1.6,,1170.0,1100.0,338.0
2021,Bachelor,Delta,0.0,,870.0,828.0,77.0
2021,Bachelor,Surrey,0.0,,982.0,936.0,68.0
2021,Bachelor,White Rock,0.0,,988.0,934.0,73.0
2021,Bachelor,Langley City and Langley DM,1.0,,966.0,900.0,92.0
2021,Bachelor,Tri-Cities,1.6,,1169.0,1200.0,208.0
2021,Bachelor,Maple Ridge/Pitt Meadows,,,,,19.0
