year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2020,2BHK,West End/Stanley Park,1.3,,2312.0,2265.0,478.0
2020,2BHK,English Bay,1.4,,2368.0,2300.0,689.0
2020,2BHK,Downtown,6.5,,2616.0,2595.0,1586.0
2020,2BHK,South Granville/Oak,2.0,,2045.0,1955.0,1524.0
2020,2BHK,Kitsilano/Point Grey,2.4,,2226.0,2175.0,1361.0
2020,2BHK,Westside/Kerrisdale,2.6,,2152.0,2050.0,921.0
2020,2BHK,Marpole,0.8,,1402.0,1400.0,710.0
2020,2BHK,Mount Pleasant/Renfrew Heights,2.1,,1897.0,1800.0,1119.0
2020,2BHK,East Hastings,1.0,,1775.0,1600.0,975.0
2020,2BHK,University Endowment Lands,26.9,,2640.0,2700.0,457.0
2020,2BHK,Central Park/Metrotown,2.6,,1604.0,1531.0,1427.0
2020,2BHK,Southeast Burnaby,1.6,,1406.0,1370.0,753.0
2020,2BHK,North Burnaby,4.1,,1906.0,1750.0,1261.0
2020,2BHK,New Westminster,2.1,,1567.0,1500.0,2386.0
2020,2BHK,Richmond,1.6,,1542.0,1450.0,1377.0
2020,2BHK,Delta,1.7,,1328.0,1375.0,751.0
2020,2BHK,Surrey,1.6,,1293.0,1250.0,2618.0
2020,2BHK,White Rock,0.3,,1422.0,1374.0,381.0
2020,2BHK,Langley City and Langley DM,2.2,,1569.0,1565.0,1494.0
2020,2BHK,Tri-Cities,1.8,,1572.0,1475.0,1827.0
2020,2BHK,Maple Ridge/Pitt Meadows,2.5,,1254.0,1250.0,643.0
