year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2023,2BHK,West End/Stanley Park,1.3,,2391.0,2328.0,500.0
2023,2BHK,English Bay,0.8,,3014.0,2995.0,752.0
2023,2BHK,Downtown,2.4,,3109.0,3000.0,1732.0
2023,2BHK,South Granville/Oak,0.4,,2261.0,2182.0,1729.0
2023,2BHK,Kitsilano/Point Grey,,,2606.0,2557.0,1446.0
2023,2BHK,Westside/Kerrisdale,1.1,,2618.0,2500.0,1081.0
2023,2BHK,Marpole,0.0,,1709.0,1650.0,703.0
2023,2BHK,Mount Pleasant/Renfrew Heights,1.1,,2339.0,2250.0,1420.0
2023,2BHK,East Hastings,0.6,,2317.0,2100.0,1031.0
2023,2BHK,University Endowment Lands,0.2,,2724.0,2650.0,562.0
2023,2BHK,Central Park/Metrotown,1.0,,1860.0,1800.0,1400.0
2023,2BHK,Southeast Burnaby,0.5,,1740.0,1700.0,617.0
2023,2BHK,North Burnaby,1.0,,2051.0,2111.0,1147.0
2023,2BHK,New Westminster,1.4,,1908.0,1887.0,2669.0
2023,2BHK,Richmond,0.2,,2028.0,2000.0,1338.0
2023,2BHK,Delta,0.7,,1834.0,2025.0,768.0
2023,2BHK,Surrey,1.2,,1668.0,1600.0,3033.0
2023,2BHK,White Rock,1.4,,1666.0,1599.0,403.0
2023,2BHK,Langley City and Langley DM,1.4,,2004.0,2050.0,1882.0
2023,2BHK,Tri-Cities,0.2,,2061.0,2038.0,2096.0
2023,2BHK,Maple Ridge/Pitt Meadows,1.6,,1569.0,1497.0,635.0
